time,rpm
10224,124.50
10238,124.50
10253,123.00
10267,124.50
10283,124.50
10297,123.00
10311,123.00
10326,123.00
10341,126.00
10355,123.00
10370,123.00
10384,124.50
10398,124.50
10414,123.00
10428,123.00
10442,126.00
10457,123.00
10471,123.00
10486,124.50
10501,124.50
10515,123.00
10529,123.00
10545,126.00
10559,123.00
10573,123.00
10588,124.50
10602,124.50
10617,123.00
10632,124.50
10646,124.50
10660,123.00
10676,123.00
10690,126.00
10704,123.00
10719,123.00
10733,124.50
10748,124.50
10763,123.00
10777,124.50
10791,124.50
10807,123.00
10821,123.00
10835,124.50
10850,121.50
10864,120.00
10880,117.00
10894,111.00
10908,109.50
10923,106.50
10937,100.50
10952,97.50
10966,90.00
10979,84.00
10992,84.00
11006,78.00
11020,78.00
11033,75.00
11046,72.00
11060,69.00
11074,66.00
11087,66.00
11101,61.50
11114,58.50
11127,57.00
11142,55.50
11155,52.50
11168,51.00
11182,48.00
11195,45.00
11209,43.50
11223,42.00
11236,40.50
11249,36.00
11262,36.00
11277,33.00
11290,33.00
11303,30.00
11317,27.00
11330,27.00
11344,24.00
11358,24.00
11371,21.00
11384,18.00
11398,18.00
11412,16.50
11425,15.00
11439,13.50
11452,10.50
11465,10.50
11480,9.00
11492,6.00
11504,6.00
11516,6.00
11529,3.00
11542,3.00
11554,0.00
11567,0.00
11579,-1.50
11592,-1.50
11607,0.00
11619,0.00
11631,0.00
11643,0.00
11656,0.00
11668,0.00
11681,0.00
11694,0.00
11706,0.00
11718,0.00
11730,0.00
11744,0.00
11756,0.00
11768,0.00
11781,0.00
11793,0.00
11806,0.00
11819,0.00
11831,0.00
11843,0.00
11855,0.00
11868,0.00
11881,0.00
11893,0.00
11906,0.00
11918,0.00
11930,0.00
11943,0.00
11956,0.00
11968,0.00
11980,0.00
11993,0.00
12006,0.00
12018,0.00
12030,0.00
12043,0.00
12055,0.00
12067,0.00
12081,0.00
12093,0.00
12105,0.00
12118,0.00
12130,0.00
12143,0.00
12155,0.00
12168,0.00
12180,0.00
12192,0.00
12206,0.00
12218,0.00
12230,0.00
12242,0.00
12255,0.00
12267,0.00
12280,0.00
12293,0.00
12305,0.00
12317,0.00
12329,0.00
12343,0.00
12355,1.50
12367,4.50
12380,10.50
12393,19.50
12407,24.00
12421,33.00
12434,39.00
12447,45.00
12461,51.00
12475,54.00
12488,60.00
12502,63.00
12515,67.50
12528,70.50
12542,75.00
12556,78.00
12569,78.00
12582,84.00
12596,84.00
12610,87.00
12623,87.00
12637,91.50
12650,91.50
12663,94.50
12678,94.50
12691,97.50
12704,97.50
12718,99.00
12731,100.50
12746,109.50
12761,109.50
12775,111.00
12789,112.50
12805,112.50
12819,114.00
12833,114.00
12848,115.50
12862,115.50
12877,115.50
12892,117.00
12906,117.00
12920,118.50
12936,118.50
12950,117.00
12964,118.50
12979,118.50
12993,120.00
13008,120.00
13023,118.50
13037,120.00
13051,120.00
13066,121.50
13081,120.00
13095,120.00
13110,121.50
13124,121.50
13139,121.50
13154,121.50
13168,121.50
13182,121.50
13197,123.00
13212,121.50
13227,121.50
13241,123.00
13255,121.50
13271,121.50
13285,123.00
13299,123.00
13314,123.00
13328,121.50
13343,123.00
13358,123.00
13372,121.50
13386,123.00
13402,123.00
13416,123.00
13430,123.00
13445,123.00
13459,123.00
13474,123.00
13489,123.00
13503,123.00
13517,123.00
13532,123.00
13547,123.00
13561,123.00
13576,123.00
13590,123.00
13605,123.00
13620,123.00
13634,123.00
13648,124.50
13663,123.00
13678,124.50
13692,123.00
13707,123.00
13721,123.00
13736,123.00
13751,124.50
13765,123.00
13779,124.50
13794,123.00
13809,123.00
13824,123.00
13838,123.00
13852,124.50
13868,124.50
13882,123.00
13896,123.00
13911,123.00
13925,123.00
13940,123.00
13955,124.50
13969,124.50
13983,123.00
13998,123.00
14013,123.00
14027,124.50
14042,123.00
14056,124.50
14071,123.00
14086,123.00
14100,123.00
14114,124.50
14129,124.50
14144,123.00
14158,123.00
14173,123.00
14187,123.00
14202,124.50
14217,124.50
14231,123.00
14245,123.00
14260,123.00
14275,124.50
14289,124.50
14304,123.00
14318,123.00
14333,123.00
14348,124.50
14362,124.50
14376,123.00
14391,123.00
14406,123.00
14420,124.50
14435,123.00
14449,124.50
14464,123.00
14479,123.00
14493,124.50
14508,124.50
14522,123.00
14537,123.00
14552,123.00
14566,124.50
14580,124.50
14595,123.00
14610,123.00
14624,123.00
14639,126.00
14653,123.00
14668,123.00
14683,123.00
14697,124.50
14711,124.50
14726,123.00
14741,123.00
14755,124.50
14770,124.50
14784,123.00
14799,123.00
14814,123.00
14828,126.00
14842,123.00
14857,123.00
14872,123.00
14886,124.50
14901,124.50
14915,123.00
14929,123.00
14945,124.50
14959,124.50
14973,123.00
14988,123.00
15003,123.00
15017,124.50
15032,124.50
15046,123.00
15060,123.00
15076,124.50
15090,124.50
15105,123.00
15119,123.00
15134,124.50
15149,124.50
15163,123.00
15177,123.00
15192,123.00
15207,124.50
15221,124.50
15236,123.00
15250,123.00
15265,124.50
15280,124.50
15294,123.00
15308,123.00
15323,124.50
15338,124.50
15352,123.00
15367,123.00
15381,124.50
15395,124.50
15411,123.00
15425,123.00
15439,124.50
15454,124.50
15469,123.00
15483,123.00
15498,124.50
15512,124.50
15526,123.00
15542,123.00
15556,124.50
15570,124.50
15585,123.00
15600,123.00
15614,124.50
15629,124.50
15643,123.00
15657,123.00
15673,124.50
15687,124.50
15702,123.00
15716,123.00
15731,124.50
15746,124.50
15760,123.00
15774,123.00
15789,126.00
15804,123.00
15818,123.00
15833,124.50
15847,124.50
15861,123.00
15877,123.00
15891,124.50
15905,124.50
15920,123.00
15935,123.00
15949,124.50
15964,124.50
15978,123.00
15992,123.00
16008,124.50
16022,124.50
16036,123.00
16051,123.00
16066,124.50
16080,123.00
16095,124.50
16109,123.00
16123,123.00
16139,124.50
16153,124.50
16167,123.00
16182,123.00
